|C190|102|1556|0.00|137.91|0.00|0.00|0.00|0.00|0.00|0.00||
|C190|000|1556|0.00|627.44|0.00|0.00|0.00|0.00|0.00|0.00||
|C190|060|1653|0.00|905.67|0.00|0.00|0.00|0.00|0.00|0.00||
|C190|060|1653|0.00|1159.20|0.00|0.00|0.00|0.00|0.00|0.00||
|C190|000|1556|0.00|120.00|0.00|0.00|0.00|0.00|0.00|0.00||
|C190|000|1556|0.00|330.00|0.00|0.00|0.00|0.00|0.00|0.00||
|C190|101|1556|0.00|782.00|0.00|0.00|0.00|0.00|0.00|0.00||
|C190|200|1101|18.00|2050.00|2050.00|369.00|0.00|0.00|0.00|0.00||
|C190|260|1401|0.00|2962.50|0.00|0.00|0.00|0.00|0.00|0.00||
|C190|200|1101|18.00|2665.00|2665.00|479.70|0.00|0.00|0.00|0.00||
|C190|200|1101|18.00|1640.00|1640.00|295.20|0.00|0.00|0.00|0.00||
|C190|200|1101|18.00|3690.00|3690.00|664.20|0.00|0.00|0.00|0.00||
|C190|200|1101|18.00|2870.00|2870.00|516.60|0.00|0.00|0.00|0.00||
|C190|260|1401|0.00|987.50|0.00|0.00|0.00|0.00|0.00|0.00||
|C190|200|1101|18.00|3690.00|3690.00|664.20|0.00|0.00|0.00|0.00||
|C190|200|1101|18.00|410.00|410.00|73.80|0.00|0.00|0.00|0.00||
|C190|200|1101|18.00|1230.00|1230.00|221.40|0.00|0.00|0.00|0.00||
|C190|200|1101|18.00|248.00|248.00|44.64|0.00|0.00|0.00|0.00||
|C190|060|1407|0.00|270.72|0.00|0.00|0.00|0.00|0.00|0.00||
|C190|060|1407|0.00|165.22|0.00|0.00|0.00|0.00|0.00|0.00||
|C190|041|1901|0.00|500.00|0.00|0.00|0.00|0.00|0.00|0.00||
|C190|102|1556|0.00|945.00|0.00|0.00|0.00|0.00|0.00|0.00||
|C190|100|1101|18.00|4141.88|3771.75|678.92|0.00|0.00|0.00|370.13||
