|E510|1101|05|9410,98|0,00|0,00|
|E510|1101|00|13816,08|9382,83|1052,75|
|E510|1101|01|15123,66|0,00|0,00|
|E510|1101|02|3329,50|0,00|0,00|
|E510|1101|03|25219,45|0,00|0,00|
|E510|1101|49|4643,40|899,84|0,00|
|E510|1124|49|506,88|0,00|0,00|
|E510|1401|04|401,99|0,00|0,00|
|E510|1401|49|1064,00|0,00|0,00|
|E510|1401|03|3950,00|0,00|0,00|
|E510|1902|49|320,00|0,00|0,00|
|E510|1916|49|360,00|0,00|0,00|
|E510|1924|49|1867,50|0,00|0,00|
|E510|1924|05|6179,08|0,00|0,00|
|E510|2101|00|32795,66|30569,54|2226,12|
|E510|2101|01|31050,00|0,00|0,00|
|E510|2101|05|1061,28|0,00|0,00|
|E510|2201|00|1286,25|1225,00|61,25|
|E510|2201|01|612,15|0,00|0,00|
|E510|2916|03|6000,00|0,00|0,00|
|E510|3101|49|3091,80|0,00|0,00|
|E510|3101|50|9768,61|9071,05|453,56|
|E510|5101|50|3522,75|3355,00|167,75|
|E510|5102|00|3506,00|0,00|0,00|
|E510|6101|50|2572,50|2450,00|122,50|
|E510|6202|50|3101,55|2697,00|404,55|
